Age,Arrival Service,Booking Services,Immediate Transfer,Lounge Service,Check-in Service,Boarding Service,Layover Service,Onboard Services,Baggage Service,Immigration Security,Call Center Service,Departure Delay,Arrival Delay,Total Delay,Age_log,Arrival Delay_log,Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,Class_Eco,Class_Leisure,Satisfaction_Satisfied
55,4,2,4,4,1,3,1,5,3,2,1,4,0.0,4.0,4.02535169073515,0.0,False,False,False,False,True,False
31,5,5,5,2,2,1,1,5,2,1,1,0,0.0,0.0,3.4657359027997265,0.0,False,False,False,False,False,True
18,4,3,3,1,1,5,4,4,3,2,2,0,3.0,3.0,2.9444389791664403,1.3862943611198906,True,True,False,True,False,True
37,4,2,3,2,5,5,3,5,2,1,3,19,15.0,34.0,3.6375861597263857,2.772588722239781,False,True,False,False,False,True
52,3,1,4,5,2,3,2,4,5,2,2,20,27.0,47.0,3.970291913552122,3.332204510175204,True,False,False,True,False,False
60,5,4,2,3,3,3,1,3,2,5,3,12,0.0,12.0,4.110873864173311,0.0,True,False,False,True,False,True
46,2,2,4,1,2,4,3,4,4,3,1,36,6.0,42.0,3.8501476017100584,1.9459101490553132,False,False,False,False,False,True
46,2,4,3,4,5,5,5,2,1,3,3,2,0.0,2.0,3.8501476017100584,0.0,False,False,False,False,False,True
47,5,4,4,4,2,1,5,1,2,3,1,0,0.0,0.0,3.871201010907891,0.0,False,False,False,True,False,True
38,2,3,5,3,2,5,3,4,5,1,4,0,0.0,0.0,3.6635616461296463,0.0,True,False,False,True,False,True
47,5,5,3,1,2,2,5,5,3,2,4,0,0.0,0.0,3.871201010907891,0.0,False,False,False,False,False,True
51,2,1,2,1,4,5,1,4,3,5,2,0,0.0,0.0,3.9512437185814275,0.0,False,False,False,False,False,True
49,3,1,2,1,4,1,2,4,5,5,5,21,14.0,35.0,3.912023005428146,2.70805020110221,False,False,False,False,False,True
41,2,2,4,3,5,5,1,3,5,1,3,0,4.0,4.0,3.7376696182833684,1.6094379124341003,False,False,False,False,False,True
65,4,1,4,3,1,1,5,1,2,2,4,5,0.0,5.0,4.189654742026425,0.0,True,False,False,False,False,True
47,5,3,4,4,2,4,2,3,4,1,1,0,0.0,0.0,3.871201010907891,0.0,True,False,False,False,False,True
35,1,1,5,2,2,3,5,1,2,3,4,42,39.0,81.0,3.58351893845611,3.6888794541139363,False,False,False,False,False,True
53,1,2,2,5,4,4,2,1,1,3,2,0,0.0,0.0,3.9889840465642745,0.0,False,False,True,True,False,True
23,5,1,3,4,3,3,4,5,5,5,5,12,11.0,23.0,3.1780538303479458,2.4849066497880004,True,False,False,False,False,True
21,3,5,3,1,4,4,5,3,5,5,4,0,2.0,2.0,3.091042453358316,1.0986122886681098,False,False,True,True,False,False
43,2,4,2,2,1,4,4,4,4,1,4,0,0.0,0.0,3.784189633918261,0.0,True,False,False,False,False,True
70,3,4,4,5,2,3,1,2,2,2,2,0,0.0,0.0,4.2626798770413155,0.0,True,False,True,True,False,True
28,1,4,1,1,2,1,1,2,2,1,3,0,0.0,0.0,3.367295829986474,0.0,False,False,False,False,False,True
40,5,5,4,3,5,2,1,5,1,2,5,0,0.0,0.0,3.713572066704308,0.0,False,False,True,False,True,False
7,5,3,2,2,3,3,5,5,1,5,3,0,0.0,0.0,2.0794415416798357,0.0,True,False,True,True,False,False
10,3,2,5,3,5,1,3,5,2,1,5,1,20.0,21.0,2.3978952727983707,3.044522437723423,True,False,True,True,False,False
39,3,5,4,5,3,1,4,5,1,1,2,41,41.0,82.0,3.6888794541139363,3.7376696182833684,True,False,True,True,False,False
32,2,2,3,5,3,1,4,3,3,5,3,0,0.0,0.0,3.4965075614664802,0.0,True,False,False,False,False,True
47,4,3,5,1,3,5,4,1,4,3,3,0,0.0,0.0,3.871201010907891,0.0,True,False,False,False,False,True
12,4,5,2,3,3,3,5,4,3,3,1,0,0.0,0.0,2.5649493574615367,0.0,False,False,True,False,True,False
61,2,1,1,4,5,3,4,4,2,1,4,8,0.0,8.0,4.127134385045092,0.0,True,False,True,True,False,True
38,4,3,4,4,2,4,4,3,4,4,4,1,0.0,1.0,3.6635616461296463,0.0,True,False,False,True,False,True
59,1,4,5,3,2,3,4,4,4,1,2,10,10.0,20.0,4.0943445622221,2.3978952727983707,False,False,False,True,False,True
49,4,5,5,5,5,1,5,2,4,2,3,11,1.0,12.0,3.912023005428146,0.6931471805599453,False,False,False,True,False,False
54,2,3,3,2,4,2,5,4,5,2,2,0,0.0,0.0,4.007333185232471,0.0,False,False,True,True,False,False
32,4,3,4,3,1,2,3,1,2,1,2,0,0.0,0.0,3.4965075614664802,0.0,True,False,False,False,False,True
24,5,5,1,1,3,4,4,4,3,1,2,25,25.0,50.0,3.2188758248682006,3.258096538021482,False,False,False,False,False,True
46,3,4,5,4,5,3,3,1,4,4,5,0,0.0,0.0,3.8501476017100584,0.0,True,False,False,False,False,True
25,1,4,3,1,3,2,4,5,2,5,5,0,0.0,0.0,3.258096538021482,0.0,False,True,False,True,False,False
23,5,3,4,2,3,3,4,3,2,4,5,0,0.0,0.0,3.1780538303479458,0.0,True,False,False,False,False,True
36,5,2,4,4,3,4,1,2,4,4,3,0,0.0,0.0,3.6109179126442243,0.0,True,False,False,False,False,True
59,2,3,1,4,5,3,1,4,5,5,3,16,0.0,16.0,4.0943445622221,0.0,False,False,False,False,False,True
46,3,5,3,4,2,4,3,2,1,2,1,2,4.0,6.0,3.8501476017100584,1.6094379124341003,True,False,True,False,True,True
32,3,5,1,1,4,5,5,4,5,5,2,0,0.0,0.0,3.4965075614664802,0.0,False,False,False,True,False,True
23,1,5,5,5,4,2,3,5,1,5,3,37,30.0,67.0,3.1780538303479458,3.4339872044851463,False,True,False,True,False,False
61,2,4,2,1,5,4,1,1,1,4,4,4,31.0,35.0,4.127134385045092,3.4657359027997265,True,False,True,False,True,False
23,1,1,2,5,1,4,2,3,4,5,3,91,73.0,164.0,3.1780538303479458,4.30406509320417,True,False,False,False,False,False
48,4,5,1,3,4,4,5,3,2,4,2,0,0.0,0.0,3.8918202981106265,0.0,False,False,True,False,False,False
41,5,5,1,4,4,4,2,2,2,1,4,0,0.0,0.0,3.7376696182833684,0.0,False,True,False,False,False,False
65,1,2,2,1,3,4,5,1,1,1,1,3,0.0,3.0,4.189654742026425,0.0,True,False,False,False,False,True
51,5,2,5,2,5,4,1,3,1,4,2,4,7.0,11.0,3.9512437185814275,2.0794415416798357,False,False,False,True,False,True
19,2,3,1,2,2,3,2,2,3,1,3,22,7.0,29.0,2.995732273553991,2.0794415416798357,False,True,False,False,False,True
20,4,3,5,5,5,1,2,1,1,2,1,0,0.0,0.0,3.044522437723423,0.0,False,False,True,True,False,True
26,2,3,5,5,5,4,4,5,2,4,3,22,72.0,94.0,3.295836866004329,4.290459441148391,False,True,False,False,False,True
59,4,5,3,4,4,1,2,5,4,5,1,0,0.0,0.0,4.0943445622221,0.0,False,False,False,False,False,True
28,4,2,5,5,3,5,4,2,4,4,3,0,8.0,8.0,3.367295829986474,2.1972245773362196,True,False,False,False,False,True
22,5,3,4,2,5,5,1,5,1,1,5,0,0.0,0.0,3.1354942159291497,0.0,True,True,False,False,False,True
38,2,2,2,1,2,2,2,4,3,3,2,0,0.0,0.0,3.6635616461296463,0.0,False,False,False,False,False,True
23,2,5,2,1,3,4,4,4,2,4,5,50,53.0,103.0,3.1780538303479458,3.9889840465642745,False,False,False,False,False,True
48,1,5,1,5,3,2,2,1,2,4,4,0,0.0,0.0,3.8918202981106265,0.0,True,False,False,False,False,True
56,2,3,1,5,2,2,1,5,2,4,5,44,64.0,108.0,4.04305126783455,4.174387269895637,False,False,False,False,False,True
58,1,5,3,2,2,2,2,3,3,2,5,0,0.0,0.0,4.07753744390572,0.0,True,False,False,False,False,True
31,3,5,3,3,2,2,2,2,3,3,1,7,9.0,16.0,3.4657359027997265,2.302585092994046,True,False,False,False,True,True
51,3,2,4,1,5,3,3,3,1,5,3,0,0.0,0.0,3.9512437185814275,0.0,False,False,False,False,False,True
45,3,1,1,5,3,4,3,4,3,4,1,0,10.0,10.0,3.828641396489095,2.3978952727983707,False,False,False,False,False,True
53,2,4,2,4,3,3,4,5,4,5,5,0,0.0,0.0,3.9889840465642745,0.0,True,False,False,True,False,True
68,2,3,4,5,1,2,2,3,2,3,1,0,0.0,0.0,4.23410650459726,0.0,True,False,True,True,False,True
37,1,1,1,5,1,4,2,2,2,5,4,0,0.0,0.0,3.6375861597263857,0.0,True,False,False,False,False,False
39,4,3,4,1,1,5,2,1,2,3,5,0,10.0,10.0,3.6888794541139363,2.3978952727983707,False,False,False,False,False,True
37,1,1,5,5,5,3,2,1,3,5,2,49,41.0,90.0,3.6375861597263857,3.7376696182833684,False,True,False,True,False,False
29,3,5,5,4,5,5,3,2,5,2,2,90,28.0,118.0,3.4011973816621555,3.367295829986474,False,True,False,False,False,True
28,1,3,4,4,2,4,2,4,3,4,5,0,0.0,0.0,3.367295829986474,0.0,False,True,False,False,False,True
39,4,1,1,4,5,2,4,2,1,5,5,35,25.0,60.0,3.6888794541139363,3.258096538021482,False,False,False,False,False,True
45,2,4,5,2,3,4,2,2,3,2,3,0,0.0,0.0,3.828641396489095,0.0,False,False,False,True,False,True
41,1,5,5,4,3,2,3,5,4,2,3,3,4.0,7.0,3.7376696182833684,1.6094379124341003,True,False,False,False,False,True
33,3,3,4,1,4,5,4,3,4,2,5,62,52.0,114.0,3.5263605246161616,3.970291913552122,True,False,True,True,False,False
37,3,3,5,3,4,4,3,2,2,1,4,0,0.0,0.0,3.6375861597263857,0.0,False,False,False,False,False,True
69,2,1,2,5,5,4,4,2,4,3,5,7,0.0,7.0,4.248495242049359,0.0,True,True,True,True,False,False
39,1,3,5,5,4,4,4,1,5,2,3,0,0.0,0.0,3.6888794541139363,0.0,True,False,False,False,False,True
33,4,5,4,5,5,3,2,3,1,1,3,0,0.0,0.0,3.5263605246161616,0.0,True,False,False,False,True,True
33,2,2,5,4,2,1,5,1,1,5,5,0,0.0,0.0,3.5263605246161616,0.0,True,True,False,False,False,False
38,1,1,5,4,2,3,3,4,2,5,5,0,0.0,0.0,3.6635616461296463,0.0,False,True,False,False,False,True
23,5,4,3,4,4,5,4,1,2,2,5,0,0.0,0.0,3.1780538303479458,0.0,False,True,False,True,False,False
27,3,3,4,3,5,2,4,4,1,1,2,0,0.0,0.0,3.332204510175204,0.0,False,True,False,True,False,False
50,4,5,4,3,4,5,3,4,2,3,5,0,0.0,0.0,3.9318256327243257,0.0,True,False,True,False,True,False
22,4,3,3,3,3,4,3,3,3,5,3,12,16.0,28.0,3.1354942159291497,2.833213344056216,True,False,True,True,False,False
41,4,4,3,3,5,1,1,4,5,5,3,0,0.0,0.0,3.7376696182833684,0.0,True,False,False,False,False,True
41,3,5,2,3,1,4,3,2,3,4,5,35,11.0,46.0,3.7376696182833684,2.4849066497880004,False,False,False,False,False,True
19,1,4,5,5,3,3,5,2,4,3,4,0,10.0,10.0,2.995732273553991,2.3978952727983707,True,False,False,False,False,False
50,2,5,1,5,5,2,5,1,4,5,1,0,0.0,0.0,3.9318256327243257,0.0,False,False,False,False,False,True
29,1,2,1,3,4,5,5,1,3,2,2,0,0.0,0.0,3.4011973816621555,0.0,True,False,False,False,False,True
22,2,5,3,5,4,3,1,3,4,3,3,0,0.0,0.0,3.1354942159291497,0.0,False,True,False,True,False,False
44,4,4,4,3,4,1,1,4,5,5,5,0,0.0,0.0,3.8066624897703196,0.0,False,False,False,True,False,False
23,1,1,4,3,5,3,1,2,2,3,1,26,20.0,46.0,3.1780538303479458,3.044522437723423,True,True,False,True,False,True
49,4,2,2,3,4,3,4,1,1,2,4,0,3.0,3.0,3.912023005428146,1.3862943611198906,False,False,False,False,False,True
28,5,3,1,5,5,1,2,5,3,2,1,0,0.0,0.0,3.367295829986474,0.0,False,False,False,False,True,True
36,4,2,4,2,5,5,1,3,4,4,5,11,0.0,11.0,3.6109179126442243,0.0,False,False,False,False,False,True
26,4,2,2,2,4,2,2,4,4,3,3,0,0.0,0.0,3.295836866004329,0.0,True,False,True,False,False,True
38,2,3,2,2,2,3,2,3,3,5,1,45,62.0,107.0,3.6635616461296463,4.143134726391533,True,False,False,False,False,True
39,5,5,3,1,2,4,2,4,4,3,1,0,8.0,8.0,3.6888794541139363,2.1972245773362196,True,False,False,False,False,True
34,4,2,1,2,3,5,5,4,3,1,4,0,0.0,0.0,3.5553480614894135,0.0,True,False,False,False,False,True
47,4,2,2,2,5,5,1,3,4,5,3,26,4.0,30.0,3.871201010907891,1.6094379124341003,False,False,False,False,False,True
29,5,1,2,2,4,1,3,1,1,5,2,66,54.0,120.0,3.4011973816621555,4.007333185232471,True,False,False,False,False,True
42,5,1,2,4,4,5,3,1,2,4,1,12,5.0,17.0,3.7612001156935624,1.791759469228055,True,False,False,False,False,True
58,1,4,1,3,4,4,5,4,5,1,1,28,17.0,45.0,4.07753744390572,2.8903717578961645,False,False,False,False,True,True
52,2,3,3,5,2,5,4,2,4,2,1,0,0.0,0.0,3.970291913552122,0.0,False,False,False,True,False,True
67,5,5,5,4,1,2,4,4,1,1,2,0,0.0,0.0,4.219507705176107,0.0,True,False,False,False,False,False
45,5,5,4,3,5,1,1,5,3,5,4,0,0.0,0.0,3.828641396489095,0.0,False,False,False,False,False,True
42,3,4,1,2,3,4,3,1,4,1,5,0,0.0,0.0,3.7612001156935624,0.0,False,False,False,False,False,True
32,5,5,1,2,3,2,2,3,5,5,5,14,9.0,23.0,3.4965075614664802,2.302585092994046,True,True,False,False,False,False
29,2,5,1,4,3,1,1,4,5,5,2,0,0.0,0.0,3.4011973816621555,0.0,True,False,False,False,False,True
20,4,1,5,5,5,1,4,1,4,2,5,0,0.0,0.0,3.044522437723423,0.0,True,False,False,False,False,True
51,4,5,4,4,5,2,1,1,3,3,4,0,5.0,5.0,3.9512437185814275,1.791759469228055,False,False,False,False,False,True
48,4,5,4,4,3,5,3,4,4,4,3,0,0.0,0.0,3.8918202981106265,0.0,True,False,True,True,False,True
30,4,4,2,3,3,4,2,4,3,4,1,0,0.0,0.0,3.4339872044851463,0.0,True,False,False,False,True,True
50,3,4,2,1,4,4,2,1,3,4,2,10,9.0,19.0,3.9318256327243257,2.302585092994046,True,False,True,True,False,True
53,5,2,3,5,1,3,4,5,4,1,1,0,0.0,0.0,3.9889840465642745,0.0,False,False,False,False,False,True
43,4,5,1,5,2,3,4,3,3,5,5,3,2.0,5.0,3.784189633918261,1.0986122886681098,True,False,False,False,False,True
11,1,5,3,4,5,1,5,4,2,4,3,88,73.0,161.0,2.4849066497880004,4.30406509320417,True,False,True,True,False,True
30,4,5,1,4,1,3,3,4,3,3,1,20,26.0,46.0,3.4339872044851463,3.295836866004329,True,False,False,True,False,True
49,5,1,4,2,3,4,4,2,1,5,3,0,0.0,0.0,3.912023005428146,0.0,False,False,False,False,False,False
50,4,5,3,4,3,4,3,4,3,3,3,5,0.0,5.0,3.9318256327243257,0.0,True,True,False,False,False,True
32,3,1,4,3,3,3,5,5,2,3,3,0,0.0,0.0,3.4965075614664802,0.0,False,False,False,False,True,True
60,2,2,2,2,3,3,1,5,2,5,3,2,0.0,2.0,4.110873864173311,0.0,True,False,True,False,False,False
25,2,3,4,1,4,1,5,4,5,1,1,3,0.0,3.0,3.258096538021482,0.0,True,False,False,False,True,False
56,5,5,5,3,5,4,3,3,2,2,5,0,0.0,0.0,4.04305126783455,0.0,False,False,True,True,False,False
39,2,4,3,5,3,5,4,3,4,2,4,0,9.0,9.0,3.6888794541139363,2.302585092994046,True,False,False,False,False,True
39,2,4,1,5,3,4,5,4,4,3,2,10,13.91689653,23.916896530000002,3.6888794541139363,2.7024945657664268,False,True,False,True,False,False
33,1,5,4,3,5,1,2,4,3,3,4,40,35.0,75.0,3.5263605246161616,3.58351893845611,True,False,False,False,False,True
52,5,1,3,4,2,2,3,5,2,3,3,9,11.0,20.0,3.970291913552122,2.4849066497880004,True,False,False,False,False,True
29,5,4,1,4,4,3,4,2,4,2,4,13,10.0,23.0,3.4011973816621555,2.3978952727983707,False,False,False,False,False,True
50,2,4,3,4,4,2,1,4,2,3,2,0,0.0,0.0,3.9318256327243257,0.0,False,False,True,False,True,False
36,2,2,3,5,1,3,4,3,2,5,5,0,0.0,0.0,3.6109179126442243,0.0,True,False,True,True,False,False
57,2,2,5,3,4,3,3,4,5,1,2,0,0.0,0.0,4.060443010546419,0.0,True,False,True,True,False,False
69,3,2,4,4,1,5,2,1,4,5,2,64,70.0,134.0,4.248495242049359,4.2626798770413155,False,False,False,False,False,False
41,4,4,5,2,2,5,4,5,3,1,3,0,0.0,0.0,3.7376696182833684,0.0,True,False,True,False,False,True
57,3,4,2,5,5,3,4,5,4,1,3,0,0.0,0.0,4.060443010546419,0.0,True,False,False,False,True,True
42,5,5,3,3,3,4,3,2,5,3,4,0,20.0,20.0,3.7612001156935624,3.044522437723423,False,True,False,False,True,False
21,1,5,4,3,1,1,3,3,3,2,5,0,0.0,0.0,3.091042453358316,0.0,False,False,True,True,False,True
10,4,1,2,3,4,1,2,4,3,1,2,0,0.0,0.0,2.3978952727983707,0.0,True,True,False,True,False,False
35,1,4,2,3,3,3,4,2,2,3,3,0,16.0,16.0,3.58351893845611,2.833213344056216,True,False,False,False,False,False
50,5,5,5,1,2,1,2,3,4,5,5,0,4.0,4.0,3.9318256327243257,1.6094379124341003,True,False,False,False,False,True
52,5,5,2,2,5,1,3,5,1,5,2,0,13.0,13.0,3.970291913552122,2.6390573296152584,False,False,False,True,False,False
60,1,2,1,1,1,4,2,1,1,5,2,0,2.0,2.0,4.110873864173311,1.0986122886681098,False,False,False,False,False,True
12,1,2,1,4,4,4,3,4,1,1,5,0,0.0,0.0,2.5649493574615367,0.0,True,False,True,True,False,False
29,1,2,1,1,3,3,1,3,2,4,4,0,0.0,0.0,3.4011973816621555,0.0,True,True,False,False,False,False
32,5,3,2,1,3,1,2,3,1,4,4,0,0.0,0.0,3.4965075614664802,0.0,True,False,False,True,False,True
23,2,5,3,5,3,3,4,4,1,2,4,31,63.0,94.0,3.1780538303479458,4.1588830833596715,False,False,False,False,False,True
61,1,2,4,3,5,4,4,5,3,2,5,0,0.0,0.0,4.127134385045092,0.0,True,False,False,False,True,True
25,4,2,1,1,1,1,4,2,3,3,1,30,65.0,95.0,3.258096538021482,4.189654742026425,True,False,True,True,False,False
23,5,4,1,3,5,4,4,4,1,1,4,3,23.0,26.0,3.1780538303479458,3.1780538303479458,True,False,False,False,False,True
46,3,2,1,2,4,2,1,3,2,2,1,0,2.0,2.0,3.8501476017100584,1.0986122886681098,True,False,True,True,False,False
33,3,4,5,1,1,1,4,5,5,1,4,0,0.0,0.0,3.5263605246161616,0.0,True,False,False,False,False,True
61,4,1,5,5,2,2,2,4,2,2,4,0,0.0,0.0,4.127134385045092,0.0,True,False,True,True,False,False
36,2,2,1,5,2,2,3,2,5,5,3,43,43.0,86.0,3.6109179126442243,3.784189633918261,False,False,False,False,False,True
47,1,4,1,4,5,4,3,5,3,3,1,15,0.0,15.0,3.871201010907891,0.0,False,False,False,True,False,True
30,5,2,5,1,5,4,3,1,1,5,4,0,0.0,0.0,3.4339872044851463,0.0,False,False,False,True,False,True
56,1,1,4,2,5,5,3,1,4,3,4,0,0.0,0.0,4.04305126783455,0.0,False,False,False,False,False,True
50,5,2,3,3,2,1,2,2,5,4,4,2,0.0,2.0,3.9318256327243257,0.0,True,False,False,True,False,True
61,3,4,4,1,2,5,4,4,1,2,1,3,24.0,27.0,4.127134385045092,3.2188758248682006,False,False,True,True,False,False
52,1,1,3,4,1,3,5,5,3,3,2,0,0.0,0.0,3.970291913552122,0.0,False,False,False,False,False,True
37,4,1,2,5,1,3,4,3,1,4,2,0,0.0,0.0,3.6375861597263857,0.0,True,True,False,True,False,False
57,2,1,2,1,5,4,5,2,1,2,5,0,0.0,0.0,4.060443010546419,0.0,True,False,False,True,False,True
23,4,3,4,4,3,3,1,3,4,1,1,0,23.0,23.0,3.1780538303479458,3.1780538303479458,False,True,False,True,False,False
52,2,4,5,2,1,2,3,1,5,4,4,0,0.0,0.0,3.970291913552122,0.0,False,False,False,False,False,True
48,1,3,1,3,2,3,1,4,1,3,1,0,0.0,0.0,3.8918202981106265,0.0,False,False,False,False,False,True
29,1,1,2,2,4,5,3,2,5,2,4,0,19.0,19.0,3.4011973816621555,2.995732273553991,True,False,True,True,False,False
55,2,3,5,2,3,1,5,3,5,4,4,0,0.0,0.0,4.02535169073515,0.0,True,False,False,False,True,True
57,3,2,5,3,2,4,3,1,2,5,5,68,67.0,135.0,4.060443010546419,4.219507705176107,True,False,False,False,True,True
32,5,3,3,1,3,1,3,2,4,3,5,10,14.0,24.0,3.4965075614664802,2.70805020110221,False,False,False,True,False,True
46,4,5,2,3,4,4,4,3,3,5,4,10,0.0,10.0,3.8501476017100584,0.0,False,False,False,False,False,True
29,4,1,4,4,5,3,4,4,2,5,5,0,0.0,0.0,3.4011973816621555,0.0,False,True,False,True,False,False
53,4,1,5,2,3,3,4,2,3,5,4,1,0.0,1.0,3.9889840465642745,0.0,True,False,False,False,False,True
60,1,4,4,3,4,4,1,1,2,3,2,0,0.0,0.0,4.110873864173311,0.0,False,False,True,True,False,False
52,4,2,4,5,4,1,2,2,5,3,3,60,58.0,118.0,3.970291913552122,4.07753744390572,True,False,False,True,False,False
47,5,4,2,3,3,2,5,2,1,4,3,0,0.0,0.0,3.871201010907891,0.0,True,False,False,True,False,True
46,5,3,4,3,3,4,1,4,5,3,3,8,0.0,8.0,3.8501476017100584,0.0,True,False,False,False,False,True
41,2,5,4,4,3,2,4,2,1,1,5,0,0.0,0.0,3.7376696182833684,0.0,True,False,False,False,False,True
26,1,5,1,2,3,5,4,1,1,2,4,4,0.0,4.0,3.295836866004329,0.0,True,True,False,False,False,True
66,5,5,4,4,5,4,2,2,2,3,5,0,0.0,0.0,4.204692619390966,0.0,True,False,False,False,False,True
46,3,5,1,4,2,4,1,5,5,1,2,42,41.0,83.0,3.8501476017100584,3.7376696182833684,False,False,False,True,False,True
29,1,2,2,5,1,2,4,3,4,1,2,2,0.0,2.0,3.4011973816621555,0.0,False,False,False,False,False,True
27,1,3,4,4,5,2,3,3,2,1,2,0,0.0,0.0,3.332204510175204,0.0,True,True,False,True,False,True
56,5,5,5,4,3,3,5,5,3,5,5,66,57.0,123.0,4.04305126783455,4.060443010546419,False,False,False,True,False,True
65,3,1,4,5,4,1,1,2,4,4,5,9,5.0,14.0,4.189654742026425,1.791759469228055,False,False,False,False,False,True
35,2,3,1,1,5,3,3,4,2,2,2,0,0.0,0.0,3.58351893845611,0.0,True,False,True,True,False,True
23,5,2,5,4,1,3,1,5,3,3,1,36,40.0,76.0,3.1780538303479458,3.713572066704308,False,True,False,True,False,False
61,3,5,2,3,1,2,1,5,3,5,4,0,1.0,1.0,4.127134385045092,0.6931471805599453,False,False,True,True,False,False
18,1,2,3,4,5,4,4,3,4,2,3,12,0.0,12.0,2.9444389791664403,0.0,True,False,False,False,False,True
31,3,5,3,2,4,4,2,3,4,4,2,0,0.0,0.0,3.4657359027997265,0.0,True,False,False,False,False,True
20,1,1,1,3,4,2,3,3,2,3,3,0,2.0,2.0,3.044522437723423,1.0986122886681098,True,False,False,False,False,False
49,5,3,2,3,4,4,4,2,1,2,3,0,5.0,5.0,3.912023005428146,1.791759469228055,False,False,True,False,False,False
46,5,1,2,1,2,1,5,3,1,4,3,22,0.0,22.0,3.8501476017100584,0.0,True,False,False,False,False,True
45,4,5,4,2,4,5,4,5,5,3,3,0,0.0,0.0,3.828641396489095,0.0,True,False,False,False,False,True
39,4,4,3,2,1,4,1,1,3,1,5,1,0.0,1.0,3.6888794541139363,0.0,False,False,False,False,False,True
36,4,3,4,2,3,4,3,4,2,2,1,68,57.0,125.0,3.6109179126442243,4.060443010546419,True,False,False,False,False,False
48,5,2,2,4,3,3,5,2,2,1,5,8,14.0,22.0,3.8918202981106265,2.70805020110221,False,False,False,True,False,True
28,2,5,1,4,1,2,4,2,3,4,3,0,0.0,0.0,3.367295829986474,0.0,True,False,False,False,False,False
25,5,1,1,3,4,4,1,3,3,4,3,0,0.0,0.0,3.258096538021482,0.0,False,False,True,True,False,False
36,3,4,5,1,3,2,5,2,5,3,3,0,0.0,0.0,3.6109179126442243,0.0,False,False,False,False,False,True
53,5,5,1,4,1,3,1,1,3,2,3,5,3.0,8.0,3.9889840465642745,1.3862943611198906,True,False,False,False,False,True
28,5,2,3,4,4,1,4,5,4,2,4,2,4.0,6.0,3.367295829986474,1.6094379124341003,False,False,False,False,False,True
39,1,1,5,1,2,5,4,5,1,5,4,2,0.0,2.0,3.6888794541139363,0.0,False,False,False,False,False,True
34,1,3,3,2,3,1,1,2,5,5,4,0,0.0,0.0,3.5553480614894135,0.0,True,False,False,False,False,False
60,1,4,4,3,4,5,3,3,1,3,5,0,0.0,0.0,4.110873864173311,0.0,True,False,False,False,False,True
40,5,5,4,4,4,1,3,2,2,2,3,0,0.0,0.0,3.713572066704308,0.0,True,False,False,False,False,True
29,2,5,1,1,3,5,2,2,3,2,2,6,0.0,6.0,3.4011973816621555,0.0,False,False,False,False,False,True
51,3,5,5,1,4,1,4,4,3,3,3,0,0.0,0.0,3.9512437185814275,0.0,False,False,False,False,False,True
49,3,5,3,2,5,2,3,4,1,2,1,0,0.0,0.0,3.912023005428146,0.0,True,False,False,True,False,False
58,2,1,3,5,5,5,1,5,5,5,4,1,3.0,4.0,4.07753744390572,1.3862943611198906,True,False,False,False,False,True
46,2,3,2,5,2,2,3,3,4,2,5,0,0.0,0.0,3.8501476017100584,0.0,True,False,False,False,False,False
35,3,2,1,5,1,3,5,5,2,1,1,0,0.0,0.0,3.58351893845611,0.0,False,False,False,False,False,True
42,4,4,4,5,5,4,5,2,1,2,1,0,0.0,0.0,3.7612001156935624,0.0,True,True,False,True,False,True
60,1,5,2,4,5,3,1,5,4,4,2,0,0.0,0.0,4.110873864173311,0.0,True,False,True,True,False,False
30,1,5,4,1,2,3,1,4,1,4,1,0,0.0,0.0,3.4339872044851463,0.0,False,False,False,False,False,True
55,3,3,4,3,5,5,4,1,3,4,1,0,4.0,4.0,4.02535169073515,1.6094379124341003,True,False,False,False,False,True
40,2,3,3,4,5,5,5,1,5,1,5,1,0.0,1.0,3.713572066704308,0.0,True,False,False,False,False,True
19,4,1,4,5,3,3,3,2,2,2,1,0,0.0,0.0,2.995732273553991,0.0,False,True,False,True,False,True
51,3,1,5,3,2,1,2,2,4,3,1,0,2.0,2.0,3.9512437185814275,1.0986122886681098,True,False,False,False,False,True
30,1,1,4,3,4,4,1,2,5,5,3,0,0.0,0.0,3.4339872044851463,0.0,False,False,True,True,False,False
34,5,4,5,5,4,2,5,5,3,2,3,0,0.0,0.0,3.5553480614894135,0.0,True,False,True,False,True,False
41,2,1,4,3,1,2,1,5,3,3,3,3,7.0,10.0,3.7376696182833684,2.0794415416798357,False,False,False,False,False,True
47,5,5,2,4,1,1,3,4,5,2,2,2,0.0,2.0,3.871201010907891,0.0,False,False,False,True,False,False
36,3,1,3,2,5,4,3,5,5,4,2,88,62.0,150.0,3.6109179126442243,4.143134726391533,False,False,False,True,False,True
39,1,4,2,4,5,1,5,4,1,4,4,2,2.0,4.0,3.6888794541139363,1.0986122886681098,False,True,False,False,False,False
27,4,1,3,4,4,2,4,1,5,2,3,23,44.0,67.0,3.332204510175204,3.8066624897703196,False,True,False,True,False,False
41,5,1,2,2,2,1,4,5,4,4,3,0,0.0,0.0,3.7376696182833684,0.0,False,False,False,False,False,True
55,4,5,1,5,3,5,2,4,2,3,3,0,0.0,0.0,4.02535169073515,0.0,True,False,False,True,False,True
